"","GSM2183532_NTak_LBOV_Ext_Biopsy_ATR10_HG133_2-a1.CEL.gz","GSM2183533_NTak_LBOV_Ext_Biopsy_ATR11_HG133_2-a1.CEL.gz","GSM2183534_NTak_LBOV_Ext_Biopsy_ATR18_HG133_2-a1_2.CEL.gz","GSM2183535_NTak_LBOV_Ext_Biopsy_ATR9_HG133_2-a1.CEL.gz","GSM2183536_NTak_LBOV_Ext_Biopsy_ATR9_2_HG133_2-a1.CEL.gz","GSM2183537_NTak_LBOV_Ext_Biopsy_2005scoop30_HG133_2-a1.CEL.gz","GSM2183538_NTak_LBOV_Ext_Biopsy_2005scoop37_HG133_2-a1.CEL.gz","GSM2183539_NTak_LBOV_Ext_Biopsy_2000HSOA10_HG133_2-a1.CEL.gz","GSM2183540_NTak_LBOV_Ext_Biopsy_2003OA11_HG133_2-a1.CEL.gz","GSM2183541_NTak_LBOV_Ext_Biopsy_2003OA12_HG133_2-a1.CEL.gz","GSM2183542_NTak_LBOV_Ext_Biopsy_2003OA17_HG133_2-a1.CEL.gz","GSM2183543_NTak_LBOV_Ext_Biopsy_2003OA18_HG133_2-a1.CEL.gz","GSM2183544_NTak_LBOV_Ext_Biopsy_2005scoop32_HG133_2-a1.CEL.gz","GSM2183545_NTak_LBOV_Ext_Biopsy_2005scoop36_HG133_2-a1.CEL.gz","GSM2183546_NTak_LBOV_Ext_Biopsy_2006scoop48_HG133_2-a1.CEL.gz","GSM2183547_NTak_LBOV_Ext_Biopsy_LUMC3_HG133_2-a1.CEL.gz","GSM2183548_NTak_LBOV_Ext_Biopsy_LUMC59_HG133_2-a1.CEL.gz"
"1552322_at",3.15639175141962,3.29173546867158,3.11283785576054,3.13101053834891,3.14899070015413,3.26005004862611,3.16665854863939,3.15639175141962,3.06945504604869,3.14543205773815,3.07278146751341,3.22935286261691,3.28409961605436,2.98192948046103,3.32929971959106,3.24604254463772,3.13219218204543
"1552323_s_at",3.88656393817525,3.78341266043624,3.98433796292602,3.91704031955108,4.10772112653684,3.87000942805839,4.39949309925769,4.22087683493036,4.36587251193474,4.46267629453159,4.00046715075605,4.00046715075605,3.93869699580347,3.97045738876128,4.09041870027904,4.25629548699357,4.89533545943324
"1552325_at",3.12640641756805,3.21022880886133,3.12941419610137,3.10111410806936,2.76683794807558,2.83075023105182,2.97531332515137,2.99828255462659,2.89915318083133,2.79510826912533,2.88842884251222,2.93656619452935,2.97531332515137,2.96683615945219,2.93697638767405,3.08395483069776,3.27019499029838
"1552326_a_at",4.72651819816884,4.85448324175075,4.3954537944319,4.18966876269108,4.37352282124676,5.15797780437778,4.16754233632352,4.15393268953491,4.36740225586131,4.06980441808395,4.14706079768876,4.0804041895641,4.52105037133483,4.40378378924799,4.39379422131605,4.43384110406348,4.3954537944319
"1552327_at",3.6819536584513,3.37195518177996,3.34867846639382,3.50962643447831,3.96856957688896,3.64112165928594,3.599706637095,3.49743878567818,3.36897114135691,3.57286161411892,3.43739494564878,3.85792419173338,3.47514311417774,3.599706637095,3.599706637095,3.81270436462542,4.73912763015942
"1552329_at",5.41776052521965,4.90687048431991,4.75625106135978,4.90712857974227,5.21434812735623,4.16573878717604,4.30345119901269,5.09272705544229,5.00945638163156,5.93909351263542,5.87760212313952,5.97291468120779,4.42253465322413,5.14606772282163,5.97630418315752,4.48058168652955,7.45657685799826
"1552330_at",4.1440102415411,3.70756260837994,3.844717378976,3.55581692438557,3.67361218147916,3.3829587534822,3.59676516520907,3.63950986070393,3.93003811955175,4.43333642006482,4.1073254722108,4.85088541734136,3.57403568627981,3.56332350575598,3.92689472679315,3.88246629411169,4.40403882685925
"1552332_at",6.49252819391549,6.87408214799752,6.47532705294115,6.47532705294115,6.43213534113859,7.17873416813814,6.77260657278438,6.35979174705792,6.34990400877074,6.01688825008462,6.1953978421968,6.51889224979639,6.47532705294115,6.07483435247189,6.70580159846712,6.77289503214559,5.84090028319039
"1552334_at",4.61277341888028,4.641901153776,4.31500434217786,4.60764124554607,4.81322536253748,4.55178009362255,4.7465981867873,4.58271426561359,4.69039928389023,5.17869619744066,4.82998575737252,5.50545381268136,4.48569311252171,4.08652105138771,4.98776546258776,3.8274786252065,4.61277341888028
"1552335_at",4.1780529587672,4.19165319885411,4.13540573910964,4.31106916460758,4.39764449636715,4.36371171049171,4.38735726992314,4.66786621735391,4.22981540380214,4.28849746465005,4.27387372588455,4.34244273872503,4.43496505396674,4.2431309805539,4.06726930709615,4.33116490609568,4.49003954512128
