"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.33095414914478e-18,1.02883402146908,0.94,0.966,5.62995355642938e-14,"3","UGDH"
6.98797175493776e-18,4.1493530514509,0.952,0.876,1.68780481797012e-13,"3","SLC5A12"
1.13112924294357e-17,1.82278084212334,0.81,0.787,2.73201646048161e-13,"3","RYBP"
1.83225781453325e-17,0.698094898068919,0.976,0.985,4.42545229944216e-13,"3","ATF4"
3.66218139378408e-17,0.779833385693376,0.911,0.98,8.8452667204067e-13,"3","RPS2"
6.97021438905606e-17,3.40166141908771,0.988,0.981,1.68351588138871e-12,"3","ZNF585B"
9.69555717701641e-17,0.389768152027334,1,1,2.34176792496477e-12,"3","EEF1A1"
2.29572300654168e-16,0.75442124473921,1,1,5.54485977770012e-12,"3","BGN"
2.4805787020891e-16,2.95907010908432,0.929,0.897,5.99134173915579e-12,"3","LINC00958"
2.60298146612389e-16,0.811053489577642,0.988,0.996,6.28698113512903e-12,"3","INHBA"
1.13817063726493e-15,1.20049892910096,0.881,0.942,2.74902354018599e-11,"3","PMEPA1"
4.43000134695211e-15,1.16008908708797,0.863,0.85,1.06997822532934e-10,"3","NOTCH2"
5.24921405076906e-15,1.42179204844131,0.869,0.881,1.26784266968225e-10,"3","ELL2"
5.97647541495506e-15,0.847678685338448,0.887,0.971,1.4434981069741e-10,"3","COL6A2"
1.37814198520858e-14,1.59806070442509,0.762,0.645,3.32862633687428e-10,"3","METRNL"
1.45880972710881e-14,0.749918229431618,0.946,0.959,3.5234631338859e-10,"3","CHI3L2"
1.61842492876313e-14,1.09063161715022,0.875,0.912,3.9089817304416e-10,"3","NFATC2"
3.20242219566842e-14,0.733527674714147,0.935,0.971,7.73481032919794e-10,"3","SOD3"
5.50885128879102e-14,0.578044518024317,0.923,0.961,1.3305528517817e-09,"3","COL6A1"
8.08437441893301e-14,0.740951575207925,0.875,0.952,1.95261895340489e-09,"3","NAP1L1"
1.52395834829643e-13,1.42002594005505,0.75,0.65,3.68081659864038e-09,"3","HNRNPAB"
2.25961752907421e-13,1.85649733039196,0.732,0.612,5.45765421797295e-09,"3","CHSY1"
2.57469328397532e-13,1.21096725097478,0.821,0.837,6.21865668878559e-09,"3","ACTN1"
3.28504914411744e-13,1.48096731991005,0.78,0.721,7.93437919778684e-09,"3","ST3GAL1"
4.4142402600472e-13,0.54537884021246,0.994,0.999,1.0661714500092e-08,"3","ACTG1"
1.04939769266781e-12,0.708177888170445,0.923,0.959,2.53461024710056e-08,"3","GPRC5A"
1.35803162246821e-12,0.537149634176965,0.929,0.996,3.28005377774748e-08,"3","RPS8"
1.54563370623841e-12,1.55753632096129,0.786,0.783,3.73316909067762e-08,"3","SNX9"
1.9224225296856e-12,1.73225368306549,0.69,0.567,4.64322713594962e-08,"3","FAM101B"
2.25546057080507e-12,0.924331447864103,0.851,0.915,5.44761391666549e-08,"3","MSN"
3.33031296670383e-12,1.28093661428595,0.869,0.853,8.04370490847976e-08,"3","VEGFA"
3.71987282937471e-12,1.71164823633051,0.661,0.511,8.98460884478873e-08,"3","EIF3B"
5.56891757542557e-12,1.47482348011736,0.762,0.691,1.34506066199254e-07,"3","EPAS1"
5.87917070822639e-12,1.02542546443903,0.839,0.905,1.41999610115792e-07,"3","IL6ST"
8.28719685428163e-12,1.57589996290701,0.72,0.616,2.00160665621464e-07,"3","SLC4A7"
9.07345617023455e-12,0.42982634440918,0.988,1,2.19151186879675e-07,"3","VIM"
1.18268238595071e-11,0.94248345464699,0.881,0.939,2.85653276678676e-07,"3","LRRFIP1"
1.52556297761664e-11,0.983911784295967,0.869,0.896,3.68469225983748e-07,"3","TXNRD1"
2.05716693127056e-11,1.10169201159295,0.875,0.863,4.96867528909779e-07,"3","KIAA0040"
2.61826176773489e-11,0.580167816017845,0.458,0.73,6.32388764761009e-07,"3","TMED3"
2.92688787082396e-11,1.39859827791853,0.75,0.666,7.0693122744011e-07,"3","MAPKAPK2"
2.98557545238716e-11,0.728674035946057,0.905,0.964,7.2110603901507e-07,"3","XBP1"
4.57969084233309e-11,0.625708692307762,1,1,1.10613272914871e-06,"3","COMP"
7.93616928619323e-11,1.41095464863911,0.726,0.667,1.91682296769425e-06,"3","EIF4G1"
8.07212828072555e-11,1.92826470183842,0.786,0.785,1.94966114364364e-06,"3","ATP13A3"
8.31875431232655e-11,0.826334249208182,0.875,0.863,2.00922872905623e-06,"3","PTPRE"
1.24568499093366e-10,0.731777487924507,0.857,0.882,3.00870295860207e-06,"3","COL6A3"
1.72203426708114e-10,1.50344776507195,0.631,0.479,4.15922936528107e-06,"3","MAP4K4"
2.00852872848759e-10,1.50177362680332,0.601,0.427,4.85119943791608e-06,"3","KPNB1"
2.20168530177297e-10,1.35795266628198,0.786,0.742,5.31773050937225e-06,"3","NFIL3"
3.04651673587647e-10,3.86316690868285,0.756,0.637,7.35825187216245e-06,"3","HSD3BP4"
3.25462658702536e-10,1.66194105025756,0.5,0.3,7.86089959564236e-06,"3","CLMP"
3.73637430543644e-10,0.50185980811612,0.935,0.993,9.02446485992062e-06,"3","RPL4"
3.80746830900992e-10,0.878731438339082,0.875,0.931,9.19617820675165e-06,"3","CD44"
6.73794883927785e-10,1.22331667226252,0.744,0.685,1.62741678315078e-05,"3","CEBPB"
